Caminho : 1 
Caminho : 1 2 
Caminho : 1 4 3 5 9 
Caminho : 1 4 3 5 7 
Caminho : 1 4 3 5 10 
Caminho : 1 4 3 7 10 
Caminho : 1 4 3 9 2 
Caminho : 1 4 3 9 7 
Caminho : 1 4 3 9 8 
Caminho : 1 4 5 8 10 
Caminho : 1 4 5 8 2 
Caminho : 1 4 5 8 9 
Caminho : 1 4 5 7 9 
Caminho : 1 4 5 7 10 
Caminho : 1 4 5 9 10 
Caminho : 1 4 5 10 9 
Caminho : 1 4 7 5 9 
Caminho : 1 4 7 5 10 
Caminho : 1 4 7 9 10 
Caminho : 1 4 7 9 2 
Caminho : 1 4 7 10 2 
Caminho : 1 4 8 10 9 
Caminho : 1 4 8 2 10 
Caminho : 1 4 8 7 5 
Caminho : 1 4 8 7 10 
Caminho : 1 4 8 9 2 
Caminho : 1 4 8 9 7 
Caminho : 1 4 9 2 10 
Caminho : 1 4 9 10 5 
Caminho : 1 4 10 2 5 
Caminho : 1 4 10 2 9 
Caminho : 1 4 10 5 9 
Caminho : 1 5 8 10 9 
Caminho : 1 5 8 10 2 
Caminho : 1 5 9 4 10 
Caminho : 1 5 9 10 8 
Caminho : 1 5 2 9 8 
Caminho : 1 5 4 10 8 
Caminho : 1 5 4 10 2 
Caminho : 1 5 4 10 9 
Caminho : 1 5 4 2 9 
Caminho : 1 5 4 8 9 
Caminho : 1 5 4 9 2 
Caminho : 1 5 10 2 4 
Caminho : 1 5 10 2 8 
